order,headline,slug,save_as,current_size,date,raw_headline
1,We Took Waymo Around San Francisco,waymo-review-accessibility-and-the-future-of-transport,assets/images/blog/waymo-review-accessibility-and-the-future-of-transport.png,800x420,2026-05-13,We Took Waymo Around San Francisco
2,How to Cancel a Chrome Web Store Submission,how-to-cancel-chrome-web-store-submission,assets/images/blog/how-to-cancel-chrome-web-store-submission.png,800x420,2026-04-12,How to Cancel a Chrome Web Store Submission
3,How to Rollback Your Chrome Extension Version,how-to-rollback-chrome-extension-version,assets/images/blog/how-to-rollback-chrome-extension-version.png,800x420,2026-04-12,How to Rollback Your Chrome Extension Version
4,Browser Extension Stores Need Higher Standards,browser-extension-stores-need-higher-standards,assets/images/blog/browser-extension-stores-need-higher-standards.png,800x420,2026-04-04,Browser Extension Stores Need Higher Standards
5,We Put a Pet Cat in Our Markdown Editor,markdown-editor-chaos-zone-update-2026,assets/images/blog/markdown-editor-chaos-zone-update-2026.png,1600x840,2026-04-04,We Put a Pet Cat in Our Markdown Editor
6,Reverse Engineering LEGO Smart Play: Discovery & First NFC Reads (Part 1),reverse-engineering-lego-smart-play-nfc-part-1,assets/images/blog/reverse-engineering-lego-smart-play-nfc-part-1.png,800x420,2026-02-28,Reverse Engineering LEGO Smart Play: Discovery & First NFC Reads (Part 1)
7,How to Deep Clean and Optimize Your Mac Using Mole,deep-clean-optimize-mac-with-mole,assets/images/blog/deep-clean-optimize-mac-with-mole.png,800x420,2026-01-20,How to Deep Clean and Optimize Your Mac Using Mole
8,Coffee & Fun LLC 2025/2026 Year in Review,coffee-and-fun-year-2025-2026-in-review,assets/images/blog/coffee-and-fun-year-2025-2026-in-review.png,800x420,2025-12-31,Coffee & Fun LLC 2025/2026 Year in Review
9,The Enshittification of Technology,enshittification-of-technology,assets/images/blog/enshittification-of-technology.png,800x420,2025-12-31,The Enshittification of Technology
10,Watch Us Put a Real Game Boy Inside the Lego Game Boy,lego-gameboy-livestream,assets/images/blog/lego-gameboy-livestream.png,800x420,2025-10-01,Watch Us Put a Real Game Boy Inside the Lego Game Boy
11,Building Just the Headlines - A Clean News Experience,just-the-headlines,assets/images/blog/just-the-headlines.png,800x420,2025-07-01,Building Just the Headlines - A Clean News Experience
12,We Cracked McDonald’s Survey Code System (For Fun),mcdvoice-code-breakdown,assets/images/blog/mcdvoice-code-breakdown.png,800x420,2025-04-10,'We Cracked McDonald’s Survey Code System (For Fun)'
13,Meet Daily Bible Verse for iOS,daily-bible-verse-app,assets/images/blog/daily-bible-verse-app.png,800x420,2025-04-05,Meet Daily Bible Verse for iOS 📖
14,How to Redeem an App Store Promo Code,app-store-promo,assets/images/blog/app-store-promo.png,800x420,2025-03-30,How to Redeem an App Store Promo Code
15,"Scraping 20,000 Poshmark Listings (For Real This Time)",ethically-scrape-poshmark-listings-node-puppeteer,assets/images/blog/ethically-scrape-poshmark-listings-node-puppeteer.png,800x420,2025-03-28,"Scraping 20,000 Poshmark Listings (For Real This Time)"
16,"How I Scraped 20,000 Poshmark Listings Using Node.js and Puppeteer",ethically-scrape-poshmark-listings-node-puppeteer,assets/images/blog/ethically-scrape-poshmark-listings-node-puppeteer.png,800x420,2025-03-28,"How I Scraped 20,000 Poshmark Listings Using Node.js and Puppeteer"
17,"Delete Your Tweets, Retweets & Likes Without Installing Anything",delete-tweets-retweets-likes-without-apps,assets/images/blog/delete-tweets-retweets-likes-without-apps.png,800x420,2025-03-25,"🧼 Delete Your Tweets, Retweets & Likes Without Installing Anything"
18,Why We Recommend Apple’s Passwords App to Our Friends,apple-passwords-app-coffee-and-fun,assets/images/blog/apple-passwords-app-coffee-and-fun.png,800x420,2025-03-21,Why We Recommend Apple’s Passwords App to Our Friends
19,A Peek Behind the Scenes at Coffee & Fun,coffee-and-fun-quarterly-update-spring-2025,assets/images/blog/coffee-and-fun-quarterly-update-spring-2025.png,800x420,2025-03-21,A Peek Behind the Scenes at Coffee & Fun ☕
