club,player,position,fpl_price_m,fpl_id,prev_club,prev_league,apps,starts,minutes,goals,assists,notes
CHE,"Geovany Quenda",MID,5.5,164,,,,,,,,
COV,"Ephron Mason-Clark",MID,5.5,186,,,,,,,,
COV,"Victor Torp",MID,5.5,188,,,,,,,,
COV,"Haji Wright",FWD,5.5,193,,,,,,,,
EVE,"Hayden Hackney",MID,5.5,247,,,,,,,,
IPS,"Emersonn Correia da Silva",FWD,5.5,316,,,,,,,,
IPS,"Daizen Maeda",MID,5.5,562,,,,,,,,
BHA,"Zadok Yohanna",MID,5.0,135,,,,,,,,
BOU,"António João Pereira de Albuquerque Tavares da Silva",DEF,5.0,566,,,,,,,,
COV,"Jack Rudoni",MID,5.0,183,,,,,,,,
COV,"Tatsuhiro Sakamoto",MID,5.0,185,,,,,,,,
COV,"Josh Eccles",MID,5.0,187,,,,,,,,
COV,"Brandon Thomas-Asante",FWD,5.0,194,,,,,,,,
COV,"Jahnoah Markelo",FWD,5.0,196,,,,,,,,
HUL,"Mohamed Belloumi",MID,5.0,286,,,,,,,,
HUL,"Liam Millar",MID,5.0,287,,,,,,,,
HUL,"Abdülkadir Ömür",MID,5.0,292,,,,,,,,
HUL,"David Akintola",MID,5.0,296,,,,,,,,
HUL,"Hidemasa Morita",MID,5.0,563,,,,,,,,
IPS,"Marcelino Núñez",MID,5.0,309,,,,,,,,
IPS,"Anis Mehmeti",MID,5.0,324,,,,,,,,
NEW,"Sean Steur",MID,5.0,462,,,,,,,,
NEW,"Lukás Hornícek",GK,5.0,567,,,,,,,,
BHA,"João Pedro Loureiro da Costa",DEF,4.5,119,,,,,,,,
BRE,"Jannik Schuster",DEF,4.5,93,,,,,,,,
COV,"Ben Wilson",GK,4.5,172,,,,,,,,
COV,"George Shepherd",MID,4.5,189,,,,,,,,
COV,"Raphael Borges Rodrigues",MID,4.5,191,,,,,,,,
COV,"Kaine Andrews",MID,4.5,192,,,,,,,,
COV,"Norman Bassette",FWD,4.5,197,,,,,,,,
HUL,"Matt Crooks",MID,4.5,289,,,,,,,,
HUL,"Regan Slater",MID,4.5,290,,,,,,,,
HUL,"Óscar Zambrano",MID,4.5,294,,,,,,,,
HUL,"Enis Destan",FWD,4.5,298,,,,,,,,
HUL,"Konstantinos Tzolakis",GK,4.5,572,,,,,,,,
IPS,"Sindre Walle Egeli",FWD,4.5,321,,,,,,,,
IPS,"Kayne van Oevelen",GK,4.5,554,,,,,,,,
NEW,"Ewen Jaouen",GK,4.5,444,,,,,,,,
