order,title,slug,save_as,type
1,What Is PSA Grading on Pokémon Cards?,what-is-psa-grading,src/assets/images/blog/what-is-psa-grading.png,blog
2,How to Avoid Spoilers Until You're Ready,avoid-spoilers-until-youre-ready,src/assets/images/social/help/avoid-spoilers-until-youre-ready.png,help
3,Choosing Keywords That Catch Spoilers,hide-spoilers-choosing-keywords,src/assets/images/social/help/hide-spoilers-choosing-keywords.png,help
4,A Spoiler Got Through,hide-spoilers-troubleshooting,src/assets/images/social/help/hide-spoilers-troubleshooting.png,help
5,Build Your Email Signature,build-an-email-signature,src/assets/images/social/help/build-an-email-signature.png,help
6,Add an Email Signature in Gmail,add-email-signature-in-gmail,src/assets/images/social/help/add-email-signature-in-gmail.png,help
7,Add an Email Signature in Outlook,add-email-signature-in-outlook,src/assets/images/social/help/add-email-signature-in-outlook.png,help
8,Add an Email Signature in Apple Mail,add-email-signature-in-apple-mail,src/assets/images/social/help/add-email-signature-in-apple-mail.png,help
9,How to View Image Metadata,view-image-metadata,src/assets/images/social/help/view-image-metadata.png,help
10,How to Remove Image Metadata,remove-image-metadata,src/assets/images/social/help/remove-image-metadata.png,help
11,Open a Site in Private Automatically,instant-incognito-getting-started,src/assets/images/social/help/instant-incognito-getting-started.png,help
12,Find and Copy Any Emoji,emoji-search-and-copy,src/assets/images/social/help/emoji-search-and-copy.png,help
13,Resize Your Chrome Extension Icons,chrome-extension-icon-sizes,src/assets/images/social/help/chrome-extension-icon-sizes.png,help
